id	pop	treat	fish_id	library	well	library_position
bb_f_14	bb	f	14	1	D5	36
bb_f_114	bb	f	114	1	A1	1
bb_f_115	bb	f	115	1	F3	22
bb_f_168	bb	f	168	1	G4	31
bb_f_173	bb	f	173	1	C8	59
bb_f_199	bb	f	199	1	C4	27
bb_f_210	bb	f	210	1	F7	54
bb_f_294	bb	f	294	1	C7	51
bb_f_304	bb	f	304	1	D4	28
bb_f_312	bb	f	312	1	F4	30
bb_s_15	bb	s	15	1	B6	42
bb_s_52	bb	s	52	1	A2	9
bb_s_71	bb	s	71	1	E4	29
bb_s_134	bb	s	134	1	D7	52
bb_s_158	bb	s	158	1	H9	72
bb_s_200	bb	s	200	1	C2	11
bb_s_221	bb	s	221	1	A9	65
bb_s_233	bb	s	233	1	B5	34
bb_s_276	bb	s	276	1	A8	57
bb_s_279	bb	s	279	1	B3	18
cl_f_18	cl	f	18	1	G7	55
cl_f_51	cl	f	51	1	F9	70
cl_f_60	cl	f	60	1	B7	50
cl_f_74	cl	f	74	1	A3	17
cl_f_187	cl	f	187	1	B2	10
cl_f_197	cl	f	197	1	A5	33
cl_f_225	cl	f	225	1	E6	45
cl_f_237	cl	f	237	1	D9	68
cl_f_274	cl	f	274	1	C6	43
cl_f_316	cl	f	316	1	C5	35
cl_f_327	cl	f	327	1	G10	79
cl_s_128	cl	s	128	1	F5	38
cl_s_159	cl	s	159	1	D6	44
cl_s_187	cl	s	187	1	H10	80
cl_s_208	cl	s	208	1	E3	21
cl_s_211	cl	s	211	1	H5	40
cl_s_232	cl	s	232	1	F10	78
cl_s_251	cl	s	251	1	E10	77
cl_s_261	cl	s	261	1	E9	69
cl_s_294	cl	s	294	1	F2	14
cl_s_306	cl	s	306	1	G2	15
lb_f_135	lb	f	135	1	G3	23
lb_f_142	lb	f	142	1	F8	62
lb_f_150	lb	f	150	1	C3	19
lb_f_280	lb	f	280	1	D3	20
lb_f_301	lb	f	301	1	E1	5
lb_f_306	lb	f	306	1	F1	6
lb_s_13	lb	s	13	1	A7	49
lb_s_25	lb	s	25	1	A10	73
lb_s_44	lb	s	44	1	G6	47
lb_s_69	lb	s	69	1	B1	2
lb_s_99	lb	s	99	1	E5	37
lb_s_111	lb	s	111	1	C9	67
lb_s_112	lb	s	112	1	B8	58
lb_s_151	lb	s	151	1	G8	63
lb_s_186	lb	s	186	1	A6	41
lb_s_200	lb	s	200	1	H1	8
lb_s_239	lb	s	239	1	F6	46
lb_s_242	lb	s	242	1	D10	76
lb_s_246	lb	s	246	1	G9	71
lb_s_284	lb	s	284	1	H2	16
rs_f_63	rs	f	63	1	D8	60
rs_f_69	rs	f	69	1	G5	39
rs_f_81	rs	f	81	1	H4	32
rs_f_113	rs	f	113	1	C1	3
rs_f_155	rs	f	155	1	B4	26
rs_f_201	rs	f	201	1	E2	13
rs_f_288	rs	f	288	1	H7	56
rs_s_81	rs	s	81	1	B10	74
rs_s_97	rs	s	97	1	D2	12
rs_s_147	rs	s	147	1	C10	75
rs_s_155	rs	s	155	1	H3	24
rs_s_165	rs	s	165	1	D1	4
rs_s_170	rs	s	170	1	E8	61
rs_s_198	rs	s	198	1	H8	64
rs_s_226	rs	s	226	1	A4	25
rs_s_246	rs	s	246	1	B9	66
rs_s_298	rs	s	298	1	E7	53
rs_s_335	rs	s	335	1	G1	7
rs_s_373	rs	s	373	1	H6	48
bb_f_5	bb	f	5	2	A4	25
bb_f_42	bb	f	42	2	H8	64
bb_f_69	bb	f	69	2	A2	9
bb_f_103	bb	f	103	2	F7	54
bb_f_122	bb	f	122	2	H6	48
bb_f_134	bb	f	134	2	E2	13
bb_f_149	bb	f	149	2	C9	67
bb_f_201	bb	f	201	2	H4	32
bb_f_209	bb	f	209	2	F3	22
bb_f_231	bb	f	231	2	F9	70
bb_f_238	bb	f	238	2	C10	75
bb_f_319	bb	f	319	2	A5	33
bb_s_35	bb	s	35	2	D5	36
bb_s_47	bb	s	47	2	B3	18
bb_s_66	bb	s	66	2	B1	2
bb_s_107	bb	s	107	2	F2	14
bb_s_116	bb	s	116	2	B10	74
bb_s_125	bb	s	125	2	E3	21
bb_s_129	bb	s	129	2	C2	11
bb_s_150	bb	s	150	2	D10	76
bb_s_201	bb	s	201	2	F5	38
bb_s_211	bb	s	211	2	B9	66
bb_s_212	bb	s	212	2	C4	27
bb_s_226	bb	s	226	2	F6	46
bb_s_237	bb	s	237	2	A7	49
bb_s_241	bb	s	241	2	G9	71
bb_s_268	bb	s	268	2	C7	51
bb_s_282	bb	s	282	2	F10	78
cl_f_31	cl	f	31	2	B6	42
cl_f_35	cl	f	35	2	D8	60
cl_f_119	cl	f	119	2	E6	45
cl_f_134	cl	f	134	2	B5	34
cl_f_189	cl	f	189	2	D1	4
cl_f_217	cl	f	217	2	H2	16
cl_f_239	cl	f	239	2	H7	56
cl_f_247	cl	f	247	2	G8	63
cl_f_270	cl	f	270	2	E9	69
cl_f_286	cl	f	286	2	G6	47
cl_f_344	cl	f	344	2	G4	31
cl_s_13	cl	s	13	2	C1	3
cl_s_32	cl	s	32	2	C5	35
cl_s_56	cl	s	56	2	E5	37
cl_s_65	cl	s	65	2	C6	43
cl_s_114	cl	s	114	2	F8	62
cl_s_131	cl	s	131	2	G7	55
cl_s_166	cl	s	166	2	D9	68
cl_s_183	cl	s	183	2	E8	61
cl_s_192	cl	s	192	2	E4	29
cl_s_291	cl	s	291	2	A3	17
cl_s_299	cl	s	299	2	C3	19
lb_f_120	lb	f	120	2	B2	10
lb_f_166	lb	f	166	2	F4	30
lb_f_212	lb	f	212	2	A1	1
lb_f_221	lb	f	221	2	G10	79
lb_f_222	lb	f	222	2	D7	52
lb_f_261	lb	f	261	2	B4	26
lb_s_33	lb	s	33	2	D2	12
lb_s_76	lb	s	76	2	D4	28
lb_s_78	lb	s	78	2	A8	57
lb_s_169	lb	s	169	2	B7	50
lb_s_183	lb	s	183	2	H10	80
lb_s_190	lb	s	190	2	G3	23
lb_s_248	lb	s	248	2	E10	77
lb_s_249	lb	s	249	2	A10	73
rs_f_13	rs	f	13	2	D3	20
rs_f_25	rs	f	25	2	C8	59
rs_f_218	rs	f	218	2	E7	53
rs_f_245	rs	f	245	2	H3	24
rs_f_283	rs	f	283	2	F1	6
rs_s_13	rs	s	13	2	H5	40
rs_s_28	rs	s	28	2	H9	72
rs_s_49	rs	s	49	2	A6	41
rs_s_108	rs	s	108	2	E1	5
rs_s_151	rs	s	151	2	H1	8
rs_s_238	rs	s	238	2	G1	7
rs_s_291	rs	s	291	2	G5	39
rs_s_302	rs	s	302	2	D6	44
rs_s_333	rs	s	333	2	B8	58
rs_s_365	rs	s	365	2	A9	65
rs_s_376	rs	s	376	2	G2	15
bb_f_76	bb	f	76	3	H7	56
bb_f_104	bb	f	104	3	D6	44
bb_f_112	bb	f	112	3	D10	76
bb_f_180	bb	f	180	3	D2	12
bb_f_253	bb	f	253	3	A7	49
bb_f_280	bb	f	280	3	A2	9
bb_f_295	bb	f	295	3	B5	34
bb_f_301	bb	f	301	3	B1	2
bb_s_25	bb	s	25	3	B3	18
bb_s_37	bb	s	37	3	A8	57
bb_s_48	bb	s	48	3	A1	1
bb_s_69	bb	s	69	3	E7	53
bb_s_109	bb	s	109	3	B7	50
bb_s_123	bb	s	123	3	H6	48
bb_s_140	bb	s	140	3	E8	61
bb_s_174	bb	s	174	3	D8	60
bb_s_175	bb	s	175	3	A4	25
bb_s_182	bb	s	182	3	A6	41
bb_s_191	bb	s	191	3	B6	42
cl_f_101	cl	f	101	3	B8	58
cl_f_108	cl	f	108	3	G4	31
cl_f_118	cl	f	118	3	E6	45
cl_f_153	cl	f	153	3	C10	75
cl_f_191	cl	f	191	3	G3	23
cl_f_251	cl	f	251	3	F1	6
cl_f_283	cl	f	283	3	D7	52
cl_f_297	cl	f	297	3	E1	5
cl_f_318	cl	f	318	3	E5	37
cl_f_336	cl	f	336	3	F2	14
cl_f_340	cl	f	340	3	A3	17
cl_s_22	cl	s	22	3	F5	38
cl_s_66	cl	s	66	3	H3	24
cl_s_90	cl	s	90	3	B9	66
cl_s_111	cl	s	111	3	C1	3
cl_s_156	cl	s	156	3	G7	55
cl_s_213	cl	s	213	3	G8	63
cl_s_220	cl	s	220	3	H9	72
cl_s_229	cl	s	229	3	D5	36
cl_s_230	cl	s	230	3	A9	65
cl_s_272	cl	s	272	3	C4	27
cl_s_284	cl	s	284	3	E3	21
lb_f_41	lb	f	41	3	D4	28
lb_f_99	lb	f	99	3	H2	16
lb_f_124	lb	f	124	3	C7	51
lb_f_129	lb	f	129	3	G2	15
lb_f_132	lb	f	132	3	F4	30
lb_f_170	lb	f	170	3	C3	19
lb_f_178	lb	f	178	3	B4	26
lb_f_192	lb	f	192	3	G9	71
lb_f_245	lb	f	245	3	G1	7
lb_f_271	lb	f	271	3	F3	22
lb_s_41	lb	s	41	3	F6	46
lb_s_87	lb	s	87	3	F7	54
lb_s_110	lb	s	110	3	B10	74
lb_s_178	lb	s	178	3	H10	80
lb_s_212	lb	s	212	3	F10	78
lb_s_267	lb	s	267	3	D3	20
lb_s_275	lb	s	275	3	C5	35
rs_f_40	rs	f	40	3	C8	59
rs_f_156	rs	f	156	3	E2	13
rs_f_158	rs	f	158	3	E10	77
rs_f_174	rs	f	174	3	G10	79
rs_f_265	rs	f	265	3	H8	64
rs_s_4	rs	s	4	3	H5	40
rs_s_9	rs	s	9	3	C9	67
rs_s_37	rs	s	37	3	G5	39
rs_s_46	rs	s	46	3	F8	62
rs_s_48	rs	s	48	3	A5	33
rs_s_50	rs	s	50	3	F9	70
rs_s_71	rs	s	71	3	C6	43
rs_s_72	rs	s	72	3	H1	8
rs_s_84	rs	s	84	3	D1	4
rs_s_99	rs	s	99	3	A10	73
rs_s_129	rs	s	129	3	C2	11
rs_s_207	rs	s	207	3	B2	10
rs_s_218	rs	s	218	3	H4	32
rs_s_257	rs	s	257	3	E9	69
rs_s_300	rs	s	300	3	G6	47
rs_s_307	rs	s	307	3	D9	68
rs_s_353	rs	s	353	3	E4	29
bb_f_54	bb	f	54	4	D8	60
bb_f_66	bb	f	66	4	D5	36
bb_f_77	bb	f	77	4	H8	64
bb_f_92	bb	f	92	4	E6	45
bb_f_136	bb	f	136	4	G6	47
bb_f_154	bb	f	154	4	B1	2
bb_f_167	bb	f	167	4	D2	12
bb_f_184	bb	f	184	4	A9	65
bb_f_194	bb	f	194	4	D9	68
bb_f_235	bb	f	235	4	B10	74
bb_f_242	bb	f	242	4	F4	30
bb_f_273	bb	f	273	4	E10	77
bb_f_276	bb	f	276	4	B3	18
bb_s_28	bb	s	28	4	D3	20
bb_s_68	bb	s	68	4	F2	14
bb_s_86	bb	s	86	4	C2	11
bb_s_121	bb	s	121	4	H4	32
bb_s_189	bb	s	189	4	F6	46
